latitude,longitude,nom_long,res_com
48.84717991,2.385243715,Reuilly-Diderot,METRO 1
48.86790534,2.31354555,Champs-Élysées – Clemenceau,METRO 1
48.84733558,2.408089407,Porte de Vincennes,METRO 1
48.84642308,2.418759787,Saint-Mandé,METRO 1
48.86943888,2.308607494,Franklin D. Roosevelt,METRO 1
48.87514982,2.295904905,Charles De Gaulle-Étoile,METRO 1
48.84586898,2.373774423,Gare de Lyon,METRO 1
48.85928733,2.345803056,Châtelet,METRO 1
48.84547071,2.429205166,Bérault,METRO 1
48.8662858,2.322943412,Concorde,METRO 1
48.86234803,2.336496461,Palais Royal - Musée du Louvre,METRO 1
48.8847082,2.260515079,Pont de Neuilly,METRO 1
48.86434378,2.330129877,Tuileries,METRO 1
48.84757937,2.395554512,Nation,METRO 1
48.88813848,2.249792769,Esplanade de la Défense,METRO 1
48.87533684,2.290127509,Argentine,METRO 1
48.87202381,2.300560451,George V,METRO 1
48.86080629,2.341108592,Louvre-Rivoli,METRO 1
48.85523625,2.36095649,Saint-Paul,METRO 1
48.89218708,2.237018056,La Défense,METRO 1
48.85200903,2.368674584,Bastille,METRO 1
48.84445639,2.440439978,Château de Vincennes,METRO 1
48.85747798,2.351577563,Hôtel de Ville,METRO 1
48.8810165,2.272238941,Les Sablons,METRO 1
48.87755125,2.283162242,Porte Maillot,METRO 1
48.84793481,2.264218776,Michel Ange-Auteuil,METRO 10
48.85103175,2.326102313,Sèvres-Babylone,METRO 10
48.8452047,2.266441542,Chardon Lagache,METRO 10
48.85301677,2.335502052,Mabillon,METRO 10
48.84074502,2.228536981,Boulogne - Pont de Saint-Cloud,METRO 10
48.84797154,2.25774468,Porte d'Auteuil,METRO 10
48.84200535,2.238887327,Boulogne - Jean Jaurès,METRO 10
48.84665685,2.351623255,Cardinal Lemoine,METRO 10
48.84698911,2.317005236,Duroc,METRO 10
48.8424368,2.365184812,Gare d'Austerlitz,METRO 10
48.84957521,2.298625127,La Motte Picquet-Grenelle,METRO 10
48.84715005,2.269135873,Église d'Auteuil,METRO 10
48.84615112,2.354917984,Jussieu,METRO 10
48.85008988,2.348208774,Maubert-Mutualité,METRO 10
48.85105028,2.344273345,Cluny-La Sorbonne,METRO 10
48.8461572,2.278400386,Javel - André Citroën,METRO 10
48.84699703,2.29501913,Avenue Émile Zola,METRO 10
48.84653464,2.285999222,Charles Michels,METRO 10
48.84524757,2.261623492,Michel Ange-Molitor,METRO 10
48.84713101,2.272763753,Mirabeau,METRO 10
48.85193594,2.340613006,Odéon,METRO 10
48.84706613,2.307402241,Ségur,METRO 10
48.84881637,2.321257863,Vaneau,METRO 10
48.87976125,2.416479644,Mairie des Lilas,METRO 11
48.8831359,2.440822205,Romainville - Carnot,METRO 11
48.86532271,2.356729869,Arts et Métiers,METRO 11
48.86995751,2.37109484,Goncourt,METRO 11
48.87547446,2.398867597,Télégraphe,METRO 11
48.87388185,2.385316215,Pyrénées,METRO 11
48.88131606,2.427185578,Serge Gainsbourg,METRO 11
48.88224373,2.467356117,Coteaux Beauclair,METRO 11
48.85763141,2.348036565,Châtelet,METRO 11
48.87511182,2.389415032,Jourdain,METRO 11
48.87680639,2.393056092,Place des Fêtes,METRO 11
48.87717482,2.406480157,Porte des Lilas,METRO 11
48.86799911,2.365074861,République,METRO 11
48.8827516,2.480511148,Rosny-Bois-Perrier,METRO 11
48.8783367,2.454714211,Montreuil - Hôpital,METRO 11
48.87799339,2.465471747,La Dhuys,METRO 11
48.87184879,2.376593684,Belleville,METRO 11
48.86120499,2.353495741,Rambuteau,METRO 11
48.85745183,2.351008461,Hôtel de Ville,METRO 11
48.86616711,2.323175681,Concorde,METRO 12
48.891465,2.349815453,Marcadet-Poissonniers,METRO 12
48.85176205,2.326822569,Sèvres-Babylone,METRO 12
48.85849912,2.323167611,Solférino,METRO 12
48.8324491,2.288022141,Porte de Versailles,METRO 12
48.84373549,2.324353041,Montparnasse Bienvenüe,METRO 12
48.88459421,2.337949776,Abbesses,METRO 12
48.83709943,2.296231387,Convention,METRO 12
48.84447014,2.317852783,Falguière,METRO 12
48.84287128,2.312447513,Pasteur,METRO 12
48.8760475,2.337495845,Notre-Dame-de-Lorette,METRO 12
48.83951659,2.301107516,Vaugirard,METRO 12
48.88224953,2.337164539,Pigalle,METRO 12
48.85519632,2.325815567,Rue du Bac,METRO 12
48.82708545,2.279411682,Corentin Celton,METRO 12
48.82430937,2.273665557,Mairie d'Issy,METRO 12
48.90808244,2.377741481,Aimé Césaire,METRO 12
48.89241892,2.344764612,Jules Joffrin,METRO 12
48.87023324,2.325163547,Madeleine,METRO 12
48.84494263,2.328778027,Notre-Dame-des-Champs,METRO 12
48.87633026,2.333108894,Trinité d'Estienne d'Orves,METRO 12
48.91371055,2.380735606,Mairie d'Aubervilliers,METRO 12
48.88967407,2.338760651,Lamarck-Caulaincourt,METRO 12
48.84845785,2.327782128,Rennes,METRO 12
48.84150552,2.307948678,Volontaires,METRO 12
48.87567211,2.327842235,Saint-Lazare,METRO 12
48.89048545,2.359995766,Marx Dormoy,METRO 12
48.87817339,2.33785751,Saint-Georges,METRO 12
48.90656715,2.365920319,Front Populaire,METRO 12
48.89724529,2.359507869,Porte de la Chapelle,METRO 12
48.86078696,2.320998192,Assemblée Nationale,METRO 12
48.84705256,2.316424352,Duroc,METRO 13
48.81074649,2.301678555,Châtillon-Montrouge,METRO 13
48.83863165,2.322491748,Gaîté,METRO 13
48.88380453,2.327243411,Place de Clichy,METRO 13
48.84232744,2.320984834,Montparnasse-Bienvenüe,METRO 13
48.90609405,2.331830838,Garibaldi,METRO 13
48.93677679,2.359366296,Basilique de Saint-Denis,METRO 13
48.89058719,2.320174757,Brochant,METRO 13
48.91900756,2.342608014,Carrefour Pleyel,METRO 13
48.86760215,2.31389413,Champs-Élysées – Clemenceau,METRO 13
48.91638231,2.294685112,Gabriel Péri,METRO 13
48.88718395,2.325779675,La Fourche,METRO 13
48.92993589,2.356035794,Saint-Denis - Porte de Paris,METRO 13
48.930757,2.284174448,Les Courtilles,METRO 13
48.83422588,2.318616414,Pernety,METRO 13
48.83182565,2.314122323,Plaisance,METRO 13
48.8973748,2.328942813,Porte de Saint-Ouen,METRO 13
48.94586727,2.364636483,Saint-Denis - Université,METRO 13
48.92310378,2.286279578,Les Agnettes,METRO 13
48.87542072,2.325476374,Saint-Lazare,METRO 13
48.89425226,2.313772157,Porte de Clichy,METRO 13
48.81530753,2.297077797,Malakoff - Rue Étienne Dolet,METRO 13
48.87376999,2.314456036,Miromesnil,METRO 13
48.87963476,2.327022201,Liège,METRO 13
48.90323368,2.306010915,Mairie de Clichy,METRO 13
48.9119649,2.33392489,Mairie de Saint-Ouen,METRO 13
48.82779554,2.30553467,Porte de Vanves,METRO 13
48.85144171,2.314408121,Saint-François-Xavier,METRO 13
48.85687138,2.315056637,Varenne,METRO 13
48.82258371,2.298464192,Malakoff - Plateau de Vanves,METRO 13
48.86002846,2.313915119,Invalides,METRO 13
48.89220683,2.327219868,Guy Môquet,METRO 13
48.83333856,2.386632402,Cour Saint-Émilion,METRO 14
48.87066702,2.325752635,Madeleine,METRO 14
48.84000139,2.379554011,Bercy,METRO 14
48.75955015,2.366485372,Chevilly - Larue,METRO 14
48.77531361,2.354364943,L'Haÿ - les - Roses,METRO 14
